Point1,Point2
2133,4935
2060,4862
2022,4824
1941,4743
1899,4701
1810,4612
1764,4566
1716,4518
1615,4417
1563,4365
1454,4256
1398,4200
1281,4083
1221,4023
2402,5204
2403,5205
2404,5206
2405,5207
2406,5208
2407,5209
2408,5210
2409,5211
2410,5212
2365,5167
2341,5143
2288,5090
2260,5062
2199,5001
2167,4969
2133,4935
2060,4862
2022,4824
1941,4743
1899,4701
1810,4612
1764,4566
1716,4518
1615,4417
1563,4365
1454,4256
1398,4200
1281,4083
2402,5204
2403,5205
2404,5206
2405,5207
2406,5208
2407,5209
2408,5210
2409,5211
2410,5212
2365,5167
2341,5143
2288,5090
2260,5062
2199,5001
2167,4969
2133,4935
2060,4862
2022,4824
1941,4743
1899,4701
1810,4612
1764,4566
1716,4518
1615,4417
1563,4365
1454,4256
1398,4200
2402,5204
2403,5205
2404,5206
2405,5207
2406,5208
2407,5209
2408,5210
2409,5211
2410,5212
2365,5167
2341,5143
2288,5090
2260,5062
2199,5001
2167,4969
2133,4935
2060,4862
2022,4824
1941,4743
1899,4701
1810,4612
1764,4566
1716,4518
1615,4417
1563,4365
1454,4256
1398,4200
2402,5204
2403,5205
2404,5206
2405,5207
2406,5208
2407,5209
2408,5210
2409,5211
2410,5212
2365,5167
2341,5143
2288,5090
2260,5062
2199,5001
2167,4969
2133,4935
2060,4862
2022,4824
1941,4743
1899,4701
1810,4612
1764,4566
1716,4518
1615,4417
1563,4365
1454,4256
2402,5204
2403,5205
2404,5206
2405,5207
2406,5208
2407,5209
2408,5210
2409,5211
2410,5212
2365,5167
2341,5143
2288,5090
2260,5062
2199,5001
2167,4969
2133,4935
2060,4862
2022,4824
1941,4743
1899,4701
1810,4612
1764,4566
1716,4518
1615,4417
1563,4365
2402,5204
2403,5205
2404,5206
2405,5207
2406,5208
2407,5209
2408,5210
2409,5211
2410,5212
2365,5167
2341,5143
2288,5090
2260,5062
2199,5001
2167,4969
2133,4935
2060,4862
2022,4824
1941,4743
1899,4701
1810,4612
1764,4566
1716,4518
1615,4417
1563,4365
2402,5204
2403,5205
2404,5206
2405,5207
2406,5208
2407,5209
2408,5210
2409,5211
2410,5212
2365,5167
2341,5143
2288,5090
2260,5062
2199,5001
2167,4969
2133,4935
2060,4862
2022,4824
1941,4743
1899,4701
1810,4612
1764,4566
1716,4518
1615,4417
2402,5204
2403,5205
2404,5206
2405,5207
2406,5208
2407,5209
2408,5210
2409,5211
2410,5212
2365,5167
2341,5143
2288,5090
2260,5062
2199,5001
2167,4969
2133,4935
2060,4862
2022,4824
1941,4743
1899,4701
1810,4612
1764,4566
1716,4518
2402,5204
2403,5205
2404,5206
2405,5207
2406,5208
2407,5209
2408,5210
2409,5211
2410,5212
2365,5167
2341,5143
2288,5090
2260,5062
2199,5001
2167,4969
2133,4935
2060,4862
2022,4824
1941,4743
1899,4701
1810,4612
1764,4566
1716,4518
2402,5204
2403,5205
2404,5206
2405,5207
2406,5208
2407,5209
2408,5210
2409,5211
2410,5212
2365,5167
2341,5143
2288,5090
2260,5062
2199,5001
2167,4969
2133,4935
2060,4862
2022,4824
1941,4743
1899,4701
1810,4612
1764,4566
2402,5204
2403,5205
2404,5206
2405,5207
2406,5208
2407,5209
2408,5210
2409,5211
2410,5212
2365,5167
2341,5143
2288,5090
2260,5062
2199,5001
2167,4969
2133,4935
2060,4862
2022,4824
1941,4743
1899,4701
1810,4612
2402,5204
2403,5205
2404,5206
2405,5207
2406,5208
2407,5209
2408,5210
2409,5211
2410,5212
2365,5167
2341,5143
2288,5090
2260,5062
2199,5001
2167,4969
2133,4935
2060,4862
2022,4824
1941,4743
1899,4701
2402,5204
2403,5205
2404,5206
2405,5207
2406,5208
2407,5209
2408,5210
2409,5211
2410,5212
2365,5167
2341,5143
2288,5090
2260,5062
2199,5001
2167,4969
2133,4935
2060,4862
2022,4824
1941,4743
1899,4701
2402,5204
2403,5205
2404,5206
2405,5207
2406,5208
2407,5209
2408,5210
2409,5211
2410,5212
2365,5167
2341,5143
2288,5090
2260,5062
2199,5001
2167,4969
2133,4935
2060,4862
2022,4824
1941,4743
2402,5204
2403,5205
2404,5206
2405,5207
2406,5208
2407,5209
2408,5210
2409,5211
2410,5212
2365,5167
2341,5143
2288,5090
2260,5062
2199,5001
2167,4969
2133,4935
2060,4862
2022,4824
2402,5204
2403,5205
2404,5206
2405,5207
2406,5208
2407,5209
2408,5210
2409,5211
2410,5212
2365,5167
2341,5143
2288,5090
2260,5062
2199,5001
2167,4969
2133,4935
2060,4862
2022,4824
2402,5204
2403,5205
2404,5206
2405,5207
2406,5208
2407,5209
2408,5210
2409,5211
2410,5212
2365,5167
2341,5143
2288,5090
2260,5062
2199,5001
2167,4969
2133,4935
2060,4862
2402,5204
2403,5205
2404,5206
2405,5207
2406,5208
2407,5209
2408,5210
2409,5211
2410,5212
2365,5167
2341,5143
2288,5090
2260,5062
2199,5001
2167,4969
2133,4935
2402,5204
2403,5205
2404,5206
2405,5207
2406,5208
2407,5209
2408,5210
2409,5211
2410,5212
2365,5167
2341,5143
2288,5090
2260,5062
2199,5001
2167,4969
2133,4935
2402,5204
2403,5205
2404,5206
2405,5207
2406,5208
2407,5209
2408,5210
2409,5211
2410,5212
2365,5167
2341,5143
2288,5090
2260,5062
2199,5001
2167,4969
2402,5204
2403,5205
2404,5206
2405,5207
2406,5208
2407,5209
2408,5210
2409,5211
2410,5212
2365,5167
2341,5143
2288,5090
2260,5062
2199,5001
2402,5204
2403,5205
2404,5206
2405,5207
2406,5208
2407,5209
2408,5210
2409,5211
2410,5212
2365,5167
2341,5143
2288,5090
2260,5062
2402,5204
2403,5205
2404,5206
2405,5207
2406,5208
2407,5209
2408,5210
2409,5211
2410,5212
2365,5167
2341,5143
2288,5090
2260,5062
2402,5204
2403,5205
2404,5206
2405,5207
2406,5208
2407,5209
2408,5210
2409,5211
2410,5212
2365,5167
2341,5143
2288,5090
2402,5204
2403,5205
2404,5206
